"","GRCI","VIgreen","NDSVI","RVI3","RVI2","ADF"
"1",0.207540542689009,-0.229044349521931,0.332973994230369,1.51364791094077,0.639634962679909,54.78
"2",0.186046882041726,-0.201905156076827,0.381784289484852,1.5459079503384,0.705924420364184,58.41
"3",0.21823809258776,-0.221174422086189,0.290148795079583,1.67001033764011,0.645927890033802,52.02
"4",0.180206110749964,-0.199698524265828,0.391663311025902,1.53317703232599,0.737305991945922,53.99
"5",0.202621790681023,-0.188970076545049,0.288119094633243,1.50876093302939,0.68211773114787,49.95
"6",0.203585370343986,-0.18018296206206,0.370071359429027,1.42668474294087,0.709939498293898,54.83
"7",0.210425789575648,-0.173349168716682,0.303618548995991,1.45490761262703,0.667025076568003,49.12
"8",0.250481228321437,-0.16941574707936,0.329097501202796,1.50963997844773,0.637681703210958,49.83
"9",0.176291360884821,-0.150871693107583,0.352486413670308,1.43845574583083,0.694829028196985,55.72
"10",0.214352406528073,-0.215381779396329,0.27248687322956,1.5605060331395,0.663584086786447,49.23
"11",0.203617049212247,-0.220232779516318,0.346703110406991,1.52531453400198,0.626487892834821,56.23
"12",0.185303775720145,-0.193607752413313,0.322751240397689,1.45559786722032,0.675332313390432,55.83
"13",0.150923089308242,-0.148949000572959,0.339369235001073,1.35345995676505,0.741162341170578,59.59
"14",0.185301715755134,-0.194575383122917,0.271921471891734,1.45604887125881,0.674303282659754,53.39
"15",0.143063680770243,-0.116676192218622,0.321776647605169,1.33504866573175,0.791934580168343,57.34
"16",0.181883832678843,-0.173950709004127,0.273872842244418,1.44386706300502,0.703384963132446,51.01
"17",0.167722037564127,-0.151138648593486,0.322750908546962,1.40338715457187,0.737799569659928,55.23
"18",0.172606440306595,-0.183343566987854,0.282744164722935,1.41698655428001,0.690199318197608,50.26
"19",0.201910647653964,-0.192146250291212,0.318608746367816,1.50640842537185,0.677965805401952,51.16
"20",0.17552876486624,-0.165298784037095,0.313960981605193,1.42476010755153,0.716268121985759,58.2
"21",0.199569671791403,-0.189685257363964,0.268053827329516,1.49863865296059,0.680904750541245,48.67
"22",0.181378516176421,-0.195068280613362,0.307089569800083,1.4423451350374,0.673339160861183,58.08
"23",0.177624490326444,-0.185770816817715,0.32177402146469,1.43216257872019,0.687014139129481,57.15
"24",0.145781123328983,-0.124773682081698,0.291500048720691,1.34082191437375,0.777847793868249,60.44
"25",0.177474830407715,-0.173095829474715,0.256334040520455,1.43211062425985,0.704815482522111,54.02
"26",0.155759160575282,-0.107902379535503,0.341286185368096,1.36916982505824,0.803625140435782,56.65
"27",0.173064078703768,-0.17052288611075,0.271721305750363,1.41841673080064,0.708236219297149,52.11
"28",0.155033512248952,-0.147194401277382,0.318843103967937,1.36672695393265,0.742896020665553,59.77
"29",0.156968188104346,-0.168702042573943,0.282684884117645,1.37251891078346,0.711177661601933,53.5
"30",0.229715246589503,-0.215106362480293,0.330811988386519,1.59661492209451,0.645982736506277,52.29
"31",0.146849516397227,-0.146840422942545,0.281498088471998,1.34422066891007,0.743906656993175,58.9
"32",0.178094252950051,-0.180539794020984,0.262228434288622,1.4333405418839,0.694098407448644,50.38
"33",0.19115747066715,-0.20045240798792,0.320803868558534,1.47363347867818,0.666492910820921,60.24
