"","TCARI","NDI5","VIgreen","GRCI","NDVI","MS"
"1",0.204569500952665,-0.14358666853486,-0.229044349521931,0.207540542689009,0.202199415726506,91.44
"2",0.164586303530173,-0.166864934580404,-0.201905156076827,0.186046882041726,0.229480262812238,91.65
"3",0.137189905273548,-0.0634737615238246,-0.221174422086189,0.21823809258776,0.233419665938443,92.45
"4",0.15923057763232,-0.149386344851499,-0.199698524265828,0.180206110749964,0.251007468532266,92.71
"5",0.161606435240312,-0.131366777252176,-0.188970076545049,0.202621790681023,0.165137866512298,92.09
"6",0.135274082657832,-0.17858346380723,-0.18018296206206,0.203585370343986,0.190383482906396,92.07
"7",0.119560561352999,-0.129909681266927,-0.173349168716682,0.210425789575648,0.176755301263758,91.87
"8",0.128462773249404,-0.186036315172452,-0.16941574707936,0.250481228321437,0.1493487849979,92.33
"9",0.144997856312156,-0.156727382371125,-0.150871693107583,0.176291360884821,0.202218041417556,92.48
"10",0.205525250014769,-0.120162681146063,-0.215381779396329,0.214352406528073,0.159179108000423,91.67
"11",0.196769457972894,-0.133740971461932,-0.220232779516318,0.203617049212247,0.225558981674274,91.38
"12",0.172325189920448,-0.167742100662117,-0.193607752413313,0.185303775720145,0.165467266634325,91.14
"13",0.119616073473525,-0.174818516425817,-0.148949000572959,0.150923089308242,0.17920423746576,91.71
"14",0.169452829319063,-0.103029414945865,-0.194575383122917,0.185301715755134,0.17527391451712,92.49
"15",0.186019705350235,-0.0966685324317346,-0.116676192218622,0.143063680770243,0.231467098312151,92.14
"16",0.133547359023345,-0.144780362813234,-0.173950709004127,0.181883832678843,0.133537349883762,92.01
"17",0.119631083252893,-0.1723665782915,-0.151138648593486,0.167722037564127,0.151927708602422,92.26
"18",0.12355195665677,-0.154783418355659,-0.183343566987854,0.172606440306595,0.133310842780831,91.85
"19",0.113036317409548,-0.204841629571219,-0.192146250291212,0.201910647653964,0.121339982327583,92.3
"20",0.144005596789562,-0.144060069654406,-0.165298784037095,0.17552876486624,0.176305451090935,92.53
"21",0.145028650565375,-0.137452678467684,-0.189685257363964,0.199569671791403,0.135271697238117,91.52
"22",0.188964382422525,-0.13135567379439,-0.195068280613362,0.181378516176421,0.183095636178789,91.3
"23",0.151870612716325,-0.185036809365144,-0.185770816817715,0.177624490326444,0.145018750775304,91.05
"24",0.099162511150263,-0.16942277766392,-0.124773682081698,0.145781123328983,0.130355430100303,91.77
"25",0.132297849195948,-0.121591550180262,-0.173095829474715,0.177474830407715,0.138187887136855,92.48
"26",0.162578304044877,-0.126011819467236,-0.107902379535503,0.155759160575282,0.217720041282872,92.41
"27",0.0991502867803977,-0.166253836792671,-0.17052288611075,0.173064078703768,0.109135376647577,92.19
"28",0.125459868295729,-0.169440882828899,-0.147194401277382,0.155033512248952,0.153792112760378,91.9
"29",0.104017547545239,-0.168462143586579,-0.168702042573943,0.156968188104346,0.117657015580866,91.85
"30",0.0961603790602701,-0.225329462021403,-0.215106362480293,0.229715246589503,0.114504369952713,93.65
"31",0.144038838556746,-0.130331718934706,-0.146840422942545,0.146849516397227,0.158699239185792,92.52
"32",0.126214557905513,-0.14622947163658,-0.180539794020984,0.178094252950051,0.119380214011672,91.51
"33",0.168433779475484,-0.164553966927881,-0.20045240798792,0.19115747066715,0.164553506577373,91.02
